21/11/2025;Beta 1;Beta 2;Beta 3;Beta 4;Lambda 1;Lambda 2
PREFIXADOS;0,063740462250941;8,59910995175592E-02;6,94910318275969E-02;0,220888748516531;2,12164492656465;0,178132006249304
IPCA;6,61880393415459E-02;7,22196888058519E-02;-6,13985659651056E-02;3,14339970846412E-02;1,40147756972757;0,527957601361848

ETTJ Inflação Implicita (IPCA)
Vertices;ETTJ IPCA;ETTJ PREF;Inflação Implícita
252;9,3008;13,7401;4,0615
378;8,5683;13,2431;4,3058
504;8,2015;12,9998;4,4345
630;8,0085;12,9318;4,5582
756;7,8964;12,9675;4,6999
882;7,8209;13,0571;4,8563
1.008;7,7616;13,1697;5,0185
1.134;7,7092;13,2867;5,1782
1.260;7,6600;13,3973;5,3290
1.386;7,6127;13,4958;5,4669
1.512;7,5670;13,5791;5,5891
1.638;7,5229;13,6461;5,6947
1.764;7,4808;13,6966;5,7831
1.890;7,4406;13,7310;5,8547
2.016;7,4027;13,7504;5,9101
2.142;7,3669;13,7556;5,9503
2.268;7,3332;13,7480;5,9765
2.394;7,3018;;
2.520;7,2723;;
2.646;7,2448;;
2.772;7,2191;;
2.898;7,1952;;
3.024;7,1728;;
3.150;7,1519;;
3.276;7,1324;;
3.402;7,1141;;
3.528;7,0970;;
3.654;7,0809;;
3.780;7,0659;;
3.906;7,0517;;
4.032;7,0384;;
4.158;7,0258;;
4.284;7,0140;;
4.410;7,0028;;
4.536;6,9922;;
4.662;6,9821;;
4.788;6,9726;;
4.914;6,9636;;
5.040;6,9550;;
5.166;6,9468;;
5.292;6,9390;;
5.418;6,9316;;
5.544;6,9245;;
5.670;6,9177;;
5.796;6,9112;;
5.922;6,9050;;
6.048;6,8990;;
6.174;6,8933;;
6.300;6,8878;;
6.426;6,8825;;
6.552;6,8774;;
6.678;6,8726;;
6.804;6,8679;;
6.930;6,8633;;
7.056;6,8590;;
7.182;6,8548;;
7.308;6,8507;;
7.434;6,8468;;
7.560;6,8430;;
7.686;6,8393;;
7.812;6,8357;;
7.938;6,8323;;
8.064;6,8289;;
8.190;6,8257;;
8.316;6,8226;;
8.442;6,8195;;
8.568;6,8166;;

PREFIXADOS (CIRCULAR 3.361)
Vertices;Taxa (%a.a.)
21;14,9646
42;14,9127
63;14,8294
126;14,4786
252;13,7401
504;12,9998
756;12,9675
1.008;13,1697
1.260;13,3973
2.520;

Erro Título a Título
Titulo;SELIC;Vencimento;Erro (%a.a.)
LTN;100000;01/01/2026;0,0493
LTN;100000;01/04/2026;0,0041
LTN;100000;01/07/2026;-0,0374
LTN;100000;01/10/2026;-0,0182
LTN;100000;01/04/2027;-0,0200
LTN;100000;01/07/2027;-0,0047
LTN;100000;01/10/2027;-0,0135
LTN;100000;01/01/2028;0,0474
LTN;100000;01/07/2028;0,0522
LTN;100000;01/01/2029;0,0005
LTN;100000;01/07/2029;-0,0210
LTN;100000;01/01/2030;0,0168
LTN;100000;01/01/2032;0,0891
NTN-F;950199;01/01/2027;0,0400
NTN-F;950199;01/01/2029;-0,0284
NTN-F;950199;01/01/2031;-0,0426
NTN-F;950199;01/01/2033;0,0026
NTN-F;950199;01/01/2035;-0,0046
NTN-B;760199;15/08/2026;-0,0634
NTN-B;760199;15/05/2027;0,0456
NTN-B;760199;15/08/2028;-0,0228
NTN-B;760199;15/05/2029;0,0183
NTN-B;760199;15/08/2030;0,0056
NTN-B;760199;15/08/2032;-0,0220
NTN-B;760199;15/05/2033;-0,0302
NTN-B;760199;15/05/2035;0,0375
NTN-B;760199;15/08/2040;0,0089
NTN-B;760199;15/05/2045;-0,0101
NTN-B;760199;15/08/2050;0,0242
NTN-B;760199;15/05/2055;-0,0034
NTN-B;760199;15/08/2060;-0,0183

